"year","sector_name","moving_average"
"2004","Real estate and rental and leasing [53]","145630666666.66666667"
"2004","Other services (except public administration) [81]","25633000000.00000000"
"2004","Mining, quarrying, and oil and gas extraction [21]","89349333333.33333333"
"2004","Business, building and other support services [55, 56]","40929333333.33333333"
"2004","Agriculture, forestry, fishing and hunting [11]","27124333333.33333333"
"2004","Manufacturing [31-33]","188357000000.00000000"
"2004","Accommodation and food services [72]","25998666666.66666667"
"2004","Utilities [22]","31622333333.33333333"
"2005","Manufacturing [31-33]","189801666666.66666667"
"2005","Business, building and other support services [55, 56]","44090666666.66666667"
"2005","Mining, quarrying, and oil and gas extraction [21]","105568333333.33333333"
"2005","Finance and insurance [52]","84190333333.33333333"
"2005","Real estate and rental and leasing [53]","152834000000.00000000"
"2005","Professional, scientific and technical services [54]","65703000000.00000000"
"2005","Agriculture, forestry, fishing and hunting [11]","27020000000.00000000"
"2005","Transportation and warehousing [48-49]","57092000000.00000000"
"2005","Public administration [91]","82734333333.33333333"
"2005","Construction [23]","77780666666.66666667"
"2005","Information, culture and recreation [51, 71]","56369333333.33333333"
"2005","Other services (except public administration) [81]","26853666666.66666667"
"2005","Utilities [22]","32483666666.66666667"
"2005","Retail trade [44-45]","68593333333.33333333"
"2005","Health care and social assistance [62]","84362666666.66666667"
"2005","Accommodation and food services [72]","27270666666.66666667"
"2005","Educational services [61]","67136000000.00000000"
"2006","Professional, scientific and technical services [54]","70891333333.33333333"
"2006","Retail trade [44-45]","73153000000.00000000"
"2006","Business, building and other support services [55, 56]","47505666666.66666667"
"2006","Utilities [22]","34093666666.66666667"
"2006","Mining, quarrying, and oil and gas extraction [21]","118102333333.33333333"
"2006","Health care and social assistance [62]","89572000000.00000000"
"2006","Public administration [91]","87678000000.00000000"
"2006","Other services (except public administration) [81]","28057666666.66666667"
"2006","Transportation and warehousing [48-49]","60444333333.33333333"
"2006","Educational services [61]","71205000000.00000000"
"2006","Manufacturing [31-33]","188747333333.33333333"
"2006","Information, culture and recreation [51, 71]","58445666666.66666667"
"2006","Real estate and rental and leasing [53]","160585666666.66666667"
"2006","Accommodation and food services [72]","28678333333.33333333"
"2006","Agriculture, forestry, fishing and hunting [11]","25723666666.66666667"
"2006","Finance and insurance [52]","90510000000.00000000"
"2006","Construction [23]","88793000000.00000000"
"2007","Transportation and warehousing [48-49]","62361666666.66666667"
"2007","Other services (except public administration) [81]","29411666666.66666667"
"2007","Mining, quarrying, and oil and gas extraction [21]","132978666666.66666667"
"2007","Information, culture and recreation [51, 71]","60409000000.00000000"
"2007","Public administration [91]","93690666666.66666667"
"2007","Health care and social assistance [62]","95758666666.66666667"
"2007","Real estate and rental and leasing [53]","168351333333.33333333"
"2007","Manufacturing [31-33]","183982666666.66666667"
"2007","Accommodation and food services [72]","30158333333.33333333"
"2007","Business, building and other support services [55, 56]","50593666666.66666667"
"2007","Retail trade [44-45]","77073666666.66666667"
"2007","Professional, scientific and technical services [54]","76728333333.33333333"
"2007","Utilities [22]","35542000000.00000000"
"2007","Finance and insurance [52]","96124666666.66666667"
"2007","Agriculture, forestry, fishing and hunting [11]","26590333333.33333333"
"2007","Construction [23]","100587666666.66666667"
"2007","Educational services [61]","75601000000.00000000"
"2008","Information, culture and recreation [51, 71]","61304333333.33333333"
"2008","Accommodation and food services [72]","31220666666.66666667"
"2008","Professional, scientific and technical services [54]","80739333333.33333333"
